feature,F,p,q,eta2
H3K9ac_TTS_bin07,8.95141221756555,0.002789806931386307,0.0037531934976204277,0.0022760037639311596
H3K4me2_TTS_bin12,8.895844419828418,0.0028757909776640942,0.003841235091594183,0.0022619069438236574
H3_TTS_bin08,8.579512287735632,0.00341924584541354,0.004534744490016539,0.002181650049522989
H3R17me2_TTS_bin08,8.48446923448065,0.0036021278317945656,0.004743647215109744,0.0021575340731434045
H3K27me_TTS_bin13,8.311297347521048,0.0039613434877101205,0.0051802184070055424,0.0021135908932559083
H3K36me3_TTS_bin11,7.282353746323958,0.006993343799133578,0.009081633961374855,0.00185241178095087
H2A.Zac_TTS_bin15,7.173672525048335,0.007428955574813668,0.009580790982690731,0.0018248169942694447
H3K18ac_TTS_bin13,6.945555224517312,0.00843583395585777,0.010804801025653446,0.0017668917381178566
H3K18ac_TTS_bin10,6.833895203972771,0.008978585969870695,0.011421738614733468,0.0017385357372416154
H3_TTS_bin07,5.663150967545048,0.01737248478643492,0.021950369290968445,0.001441128857609765
H3K27ac_TTS_bin10,4.865683118952237,0.027453705774769372,0.03445532201263002,0.001238444760241736
H3K27ac_TTS_bin06,4.241618563256305,0.03951037133545935,0.04925626293153933,0.001079775374104321
H3K4me1_TTS_bin12,4.0541598809137485,0.04413078736589247,0.05445195435311464,0.0010321038651454483
H3K4me3_TTS_bin15,4.049203044740497,0.044260412094510294,0.05445195435311464,0.0010308432597030215
H3K4me3_TTS_bin06,3.7343675480649856,0.05337572964085689,0.06523700289438064,0.0009507688653589393
MNase_TTS_bin08,3.4250777069397698,0.06428832813170222,0.07806439844563842,0.0008720924369458703
H3_TTS_bin15,3.3451443495245203,0.06747942232752249,0.08141065790481745,0.0008517571607724247
H2A.Zac_TTS_bin12,3.0214045480626344,0.08225071139005069,0.09859540403807358,0.000769388357436353
H2A.Zac_TTS_bin14,2.3383901750285525,0.12630053544340358,0.1504343957192132,0.0005955651150394887
MNase_TTS_bin10,2.157212252481131,0.1419820897175514,0.16804209352646907,0.000549446223332334
H3R17me2_TTS_bin14,2.127074750028352,0.14479673626380277,0.17029553258698818,0.0005417743006099158
H3K18ac_TTS_bin12,2.0570861719403246,0.151579313102075,0.17715832218805017,0.0005239572748918086
H3K4me3_TTS_bin12,1.7360809399309154,0.18771308673630668,0.21802700136453013,0.0004422306808549516
H3K4me_TTS_bin09,1.6479699993508021,0.1993112482964755,0.23006915698420322,0.0004197956648036055
H3K4me_TTS_bin11,1.5181033955673064,0.21798055512386852,0.2500758515838246,0.0003867268868927515
H3K4me2_TTS_bin10,1.3362434886472998,0.24776789989370274,0.28251583707391714,0.0003404150385495923
H3K4me3_TTS_bin07,1.3263616505911717,0.2495236806576373,0.2827935047453223,0.00033789843910798776
H3K4me_TTS_bin10,1.2612539322666962,0.26148257769521954,0.294561698969916,0.0003213171941111413
H3K4me1_TTS_bin13,1.1830139039272733,0.2768100790278181,0.3099609866958203,0.0003013907631151867
H3R17me2_TTS_bin09,0.9621616301578588,0.32670332853441775,0.3636519192615245,0.00024513908428565415
H3K4me1_TTS_bin08,0.8752217412533452,0.34957132294390914,0.38680377154148526,0.00022299351999910375
H3R17me2_TTS_bin13,0.8451116817967442,0.3579954132387666,0.3937949545626433,0.00021532357526195817
H3K27ac_TTS_bin07,0.7543552442888992,0.38515394414619253,0.42119174008969595,0.00019220444797543148
MNase_TTS_bin12,0.734184388600684,0.3915825422847642,0.42573218260029594,0.0001870660162211867
H3K27me_TTS_bin12,0.5399844204868985,0.462483094863552,0.49990947248256773,0.00013759177448325442
H3K9ac_TTS_bin06,0.4536444406401101,0.5006489972812793,0.538053807422984,0.00011559429203164122
H3K27me_TTS_bin08,0.3212989683367289,0.5708604768203103,0.6100051952308458,8.187376717120359e-05
H3K4me3_TTS_bin13,0.28914623210950235,0.5907986583850556,0.6277235745341216,7.368117417829032e-05
H3_TTS_bin14,0.19110425153536975,0.6620231993053669,0.6994256399440882,4.869901757035332e-05
H3K4me3_TTS_bin14,0.13776835222492848,0.710529766708919,0.7464554290706059,3.510792952684187e-05
H3K27ac_TTS_bin08,0.11581170709818076,0.7336404060358219,0.7664288040709424,2.9512815792202486e-05
H3K36me3_TTS_bin08,0.07575879483434612,0.7831439249403597,0.8135995220213736,1.930614990410206e-05
H2A.Zac_TTS_bin13,0.06481556790641618,0.7990538830192591,0.8255418570419969,1.651745599340611e-05
H3K4me2_TTS_bin09,0.05451981737517734,0.8153893935559309,0.8377902010712037,1.3893746149509328e-05
H3K36me3_TTS_bin12,0.019113726431830146,0.8900480363740743,0.9095026382620321,4.8709565060397614e-06
H3K4me2_TTS_bin11,0.008185888191737684,0.9279136634565412,0.9430426905781153,2.086103750032015e-06
MNase_TTS_bin11,0.004267612129058469,0.9479170023771275,0.9581647537541775,1.0875656186927226e-06
H3K18ac_TTS_bin11,0.0033919631582760143,0.9535599765702968,0.9586866431109973,8.644139210539857e-07
H3K27ac_TTS_bin09,0.0001206620825410562,0.9912362684659382,0.9912362684659382,3.074976524738161e-08
